,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,title,authors,n_citation,doi,url,pdf,conf,fos,year,pool,topic,labels
10,10,10,10,208.0,Toward Off-Policy Learning Control with Function Approximation,Hamid R. MaeiCsaba Szepesv ri ; Shalabh Bhatnagar ; Richard S. Sutton ; ,105,,,,International Conference on Machine Learning,Linear approximation=0.61646 ; Mathematical optimization=0.4673 ; Function approximation=0.64327 ; Computer science=0.44502 ; Policy learning=0.0 ; Q-learning=0.6308 ; Latent learning=0.51625 ; Artificial intelligence=0.0 ; Linear function=0.54974 ; Machine learning=0.45163 ; ,2010,A,ML,ml
11,11,11,11,223.0,Towards text knowledge engineering,Udo HahnKlemens Schnattinger ; ,139,,,,National Conference on Artificial Intelligence,Ontology=0.51788 ; Assimilation (phonology)=0.0 ; Computer science=0.44453 ; Natural language processing=0.46151 ; Artificial intelligence=0.0 ; Body of knowledge=0.53163 ; Information retrieval=0.46255 ; Credibility=0.48987 ; Domain knowledge=0.56072 ; Ranking=0.46987 ; Natural language=0.51376 ; Knowledge engineering=0.56421 ; Machine learning=0.44525 ; ,1998,C,ML,ml
12,12,12,12,259.0,Towards efficient sampling: exploiting random walk strategies,Wei WeiJordan Erenrich ; Bart Selman ; ,112,,,,National Conference on Artificial Intelligence,Mathematical optimization=0.44981 ; Loop-erased random walk=0.62698 ; Computer science=0.44794 ; Random walk=0.61799 ; Satisfiability=0.50321 ; Sampling (statistics)=0.5456 ; Probabilistic logic=0.52683 ; Interleaving=0.48991 ; ,2004,C,None,mo
13,13,13,13,291.0,An empirical study of greedy local search for satisfiability testing,Bart SelmanHenry A. Kautz ; ,137,,,,National Conference on Artificial Intelligence,Simulated annealing=0.54895 ; Mathematical optimization=0.4542 ; Computer science=0.44196 ; Satisfiability=0.47559 ; Algorithm=0.4591 ; Artificial intelligence=0.0 ; Local search (optimization)=0.54901 ; Initialization=0.45866 ; Machine learning=0.44393 ; Empirical research=0.40444 ; ,1993,C,ML,mo
14,14,14,14,332.0,SVDFeature: a toolkit for feature-based collaborative filtering,Tianqi ChenWeinan Zhang ; Qiuxia Lu ; Kailong Chen ; Zhao Zheng ; Yong Yu ; ,121,,,,Journal of Machine Learning Research,Recommender system=0.6502 ; Data mining=0.47541 ; Collaborative filtering=0.62229 ; Ranking=0.50201 ; Computer science=0.46548 ; Matrix decomposition=0.53461 ; Side information=0.0 ; Factorization=0.48234 ; Artificial intelligence=0.0 ; Feature based=0.0 ; Machine learning=0.47816 ; ,2012,A,ML,mo
15,15,15,15,343.0,Extracting influential nodes for information diffusion on a social network,Masahiro KimuraKazumi Saito ; Ryohei Nakano ; ,141,,,,National Conference on Artificial Intelligence,Graph theory=0.53207 ; Mathematical optimization=0.47459 ; Social network=0.42902 ; Computer science=0.44834 ; Stochastic process=0.498 ; Greedy algorithm=0.6643 ; Expected value=0.45368 ; Artificial intelligence=0.0 ; Greedy randomized adaptive search procedure=0.64866 ; Optimization problem=0.60699 ; Machine learning=0.45024 ; Computation=0.47354 ; ,2007,C,ML,mo
16,16,16,16,355.0,Domain Adaptation for Large-Scale Sentiment Classification: A Deep Learning Approach,Xavier GlorotAntoine Bordes ; Yoshua Bengio ; ,912,,,,International Conference on Machine Learning,Training set=0.0 ; Pattern recognition=0.45742 ; Domain adaptation=0.0 ; Sentiment analysis=0.64542 ; Computer science=0.44922 ; Artificial intelligence=0.0 ; Deep learning=0.53276 ; Machine learning=0.4766 ; ,2011,A,ML,ml
17,17,17,17,367.0,Learning with many irrelevant features,Hussein AlmuallimThomas G. Dietterich ; ,555,,,,National Conference on Artificial Intelligence,Training set=0.0 ; Inductive bias=0.66009 ; Computer science=0.45275 ; Approximations of π=0.41791 ; Artificial intelligence=0.0 ; ID3=0.45197 ; Logarithm=0.47676 ; Sample complexity=0.0 ; Machine learning=0.46263 ; ,1991,C,ML,ml
18,18,18,18,400.0,DL-Lite: tractable description logics for ontologies,Diego CalvaneseGiuseppe De Giacomo ; Domenico Lemho ; Maurizio Lenzerini ; Riccardo Rosati ; ,321,,,,National Conference on Artificial Intelligence,Query optimization=0.57436 ; RDF query language=0.55503 ; Conjunctive query=0.56908 ; Query language=0.58221 ; Computer science=0.44976 ; Sargable=0.56025 ; Abox=0.68382 ; Description logic=0.63182 ; Theoretical computer science=0.45917 ; Ontology language=0.55279 ; ,2005,C,None,ml
19,19,19,19,408.0,The logic of representing dependencies by directed graphs,Judea PearlThomas Verma ; ,101,,,,National Conference on Artificial Intelligence,Axiom=0.49514 ; Computer science=0.4449 ; Theoretical computer science=0.46724 ; Data type=0.49613 ; Artificial intelligence=0.0 ; Probabilistic logic=0.51264 ; Acyclic dependencies principle=0.65374 ; Causal reasoning=0.49072 ; Directed graph=0.4956 ; Algorithm=0.44339 ; Rotation formalisms in three dimensions=0.49512 ; Machine learning=0.44035 ; Dependency theory (database theory)=0.67275 ; ,1987,C,ML,ml
20,20,20,20,414.0,Simplified support vector decision rules,Christopher J. C. Burges,430,,,,International Conference on Machine Learning,Structured support vector machine=0.60019 ; Pattern recognition=0.44695 ; Radial basis function kernel=0.57689 ; Least squares support vector machine=0.60118 ; Computer science=0.42293 ; Support vector machine=0.57752 ; Polynomial kernel=0.58639 ; Artificial intelligence=0.0 ; Relevance vector machine=0.59643 ; Kernel method=0.59704 ; Decision boundary=0.56908 ; ,1996,A,None,ml
21,21,21,21,428.0,"Learnability, Stability and Uniform Convergence",Shai Shalev-ShwartzOhad Shamir ; Nathan Srebro ; Karthik Sridharan ; ,169,,,,Journal of Machine Learning Research,Statistical learning theory=0.64098 ; Population Risk=0.4116 ; Mathematical optimization=0.45374 ; Regression=0.44642 ; Empirical risk minimization=0.66198 ; Uniform convergence=0.5366 ; Artificial intelligence=0.0 ; Statistical learning=0.0 ; Learnability=0.66593 ; Machine learning=0.45263 ; Mathematics=0.42104 ; ,2010,A,ML,ml
22,22,22,22,432.0,Parameter Learning and Convergent Inference for Dense Random Fields,Philipp KraehenbuehlVladlen Koltun ; ,107,,,,International Conference on Machine Learning,Pairwise comparison=0.48852 ; Random field=0.61828 ; Computer science=0.43593 ; Inference=0.54849 ; Parameter learning=0.0 ; Mean field theory=0.44258 ; Artificial intelligence=0.0 ; Estimation theory=0.5258 ; Machine learning=0.45384 ; ,2013,A,ML,ml
23,23,23,23,438.0,Zero-data learning of new tasks,Hugo LarochelleDumitru Erhan ; Yoshua Bengio ; ,166,,,,National Conference on Artificial Intelligence,Online machine learning=0.62084 ; Algorithmic learning theory=0.60475 ; Multi-task learning=0.65879 ; Stability (learning theory)=0.63379 ; Semi-supervised learning=0.63153 ; Instance-based learning=0.62804 ; Active learning (machine learning)=0.62111 ; Computer science=0.46869 ; Unsupervised learning=0.60274 ; Artificial intelligence=0.4718 ; Machine learning=0.47146 ; ,2008,C,ML,ml
24,24,24,24,490.0,Single document keyphrase extraction using neighborhood knowledge,Xiaojun WanJianguo Xiao ; ,204,,,,National Conference on Artificial Intelligence,k-nearest neighbors algorithm=0.454 ; Data mining=0.46101 ; Graph=0.0 ; Ranking=0.47467 ; Information retrieval=0.46972 ; Document clustering=0.63008 ; Computer science=0.44373 ; Global information=0.0 ; Robustness (computer science)=0.4459 ; ,2008,C,ML,ml
25,25,25,25,505.0,Proximal Methods for Sparse Hierarchical Dictionary Learning,Rodolphe JenattonJulien Mairal ; Francis R. Bach ; Guillaume R. Obozinski ; ,307,,,,International Conference on Machine Learning,Data modeling=0.51737 ; K-SVD=0.70373 ; Computer science=0.46345 ; Theoretical computer science=0.47513 ; Regularization (mathematics)=0.47649 ; Artificial intelligence=0.0 ; Operator (computer programming)=0.46726 ; Probabilistic logic=0.51763 ; Hierarchy=0.46611 ; Pattern recognition=0.46736 ; Sparse approximation=0.61381 ; Topic model=0.5427 ; Machine learning=0.47513 ; ,2010,A,ML,ml
26,26,26,26,513.0,Multi-Agent Reinforcement Leraning for Traffic Light Control,Marco Wiering,193,,,,International Conference on Machine Learning,Traffic signal=0.0 ; Computer science=0.43751 ; Artificial intelligence=0.44451 ; Reinforcement=0.48158 ; Machine learning=0.43326 ; ,2000,A,AI,ml
27,27,27,27,528.0,"Massively parallel architectures for AI: netl, thistle, and boltzmann machines",Scott E. FahlmanGeoffrey E. Hinton ; Terrence J. Sejnowski ; ,162,,,,National Conference on Artificial Intelligence,Architecture=0.45582 ; Boltzmann machine=0.56258 ; Massively parallel=0.68113 ; Computer science=0.46151 ; Parallel computing=0.4647 ; sort=0.4716 ; Artificial intelligence=0.0 ; Boltzmann constant=0.39947 ; Machine learning=0.44052 ; Parallel architecture=0.0 ; Distributed computing=0.4596 ; ,1983,C,ML,ml
28,28,28,28,533.0,Combinatorial Multi-Armed Bandit: General Framework and Applications,Wei ChenYajun Wang ; Yang Yuan ; ,136,,,,International Conference on Machine Learning,Computer science=0.42545 ; Artificial intelligence=0.0 ; Multi-armed bandit=0.60199 ; Machine learning=0.42128 ; ,2013,A,ML,ml
29,29,29,29,534.0,Fast dropout training,Sida WangChristopher Manning ; ,209,,,,International Conference on Machine Learning,Monte Carlo method=0.46041 ; Central limit theorem=0.46303 ; Regression=0.44532 ; Computer science=0.42534 ; Gaussian approximation=0.0 ; Sampling (statistics)=0.47459 ; Artificial intelligence=0.0 ; Artificial neural network=0.49806 ; Machine learning=0.4467 ; Speedup=0.47031 ; ,2013,A,ML,ml
30,30,30,30,543.0,The frame problem and knowledge-producing actions,Richard B. ScherlHector J. Levesque ; ,242,,,,National Conference on Artificial Intelligence,GRASP=0.50347 ; Successor cardinal=0.47343 ; Computer science=0.45228 ; Fluent calculus=0.60365 ; Artificial intelligence=0.45675 ; Robot=0.46565 ; Fluent=0.49605 ; Frame problem=0.64995 ; ,1993,C,AI,ml
31,31,31,31,560.0,Reasoning under varying and uncertain resource constraints,Eric J. Horvitz,183,,,,National Conference on Artificial Intelligence,Mathematical optimization=0.46631 ; Computer science=0.46805 ; Inference=0.53412 ; Rational planning model=0.52732 ; Resource allocation=0.58968 ; SIMPLE algorithm=0.42493 ; Computation=0.45334 ; ,1988,C,None,mo
32,32,32,32,591.0,Reasoning about multiple faults,Johan de KleerBrian C. Williams ; ,122,,,,National Conference on Artificial Intelligence,Troubleshooting=0.5492 ; Digital electronics=0.45425 ; Structure and function=0.0 ; Computer science=0.45477 ; Inference=0.5095 ; Artificial intelligence=0.0 ; Machine learning=0.46444 ; Medical diagnosis=0.48798 ; ,1986,C,ML,ml
33,33,33,33,607.0,TopicMF: simultaneously exploiting ratings and reviews for recommendation,Yang BaoHui Fang ; Jie Zhang ; ,124,,,,National Conference on Artificial Intelligence,Information retrieval=0.47982 ; Computer science=0.46509 ; Matrix decomposition=0.5047 ; Exploit=0.4743 ; Artificial intelligence=0.0 ; Machine learning=0.47505 ; ,2014,C,ML,ml
34,34,34,34,630.0,Experiments with Noise Filtering in a Medical Domain,Dragan GambergerNada Lavrac ; Ciril Groselj ; ,142,,,,International Conference on Machine Learning,Median filter=0.7494 ; Pattern recognition=0.44789 ; Computer science=0.43518 ; Filter (signal processing)=0.58923 ; Speech recognition=0.45007 ; Artificial intelligence=0.0 ; ,1999,A,AI,ml
35,35,35,35,634.0,Probabilistic temporal reasoning,Thomas DeanKeiji Kanazawa ; ,168,,,,National Conference on Artificial Intelligence,Causal reasoning=0.60606 ; Proposition=0.48176 ; Certainty=0.50449 ; Computer science=0.4468 ; sort=0.47186 ; Artificial intelligence=0.45464 ; Probabilistic logic=0.56095 ; Machine learning=0.44685 ; ,1988,C,AI,ml
36,36,36,36,708.0,Discriminative training of Markov logic networks,Parag SinglaPedro Domingos ; ,218,,,,National Conference on Artificial Intelligence,Markov logic network=0.61293 ; Maximum-entropy Markov model=0.59064 ; Relational database=0.49527 ; Computer science=0.45015 ; Markov chain=0.54602 ; Artificial intelligence=0.0 ; Probabilistic logic=0.56605 ; Discriminative model=0.54548 ; Perceptron=0.52022 ; Machine learning=0.46848 ; Viterbi algorithm=0.54989 ; ,2005,C,ML,ml
37,37,37,37,747.0,Programming robots using reinforcement learning and teaching,Long-Ji Lin,117,,,,National Conference on Artificial Intelligence,Robot learning=0.70084 ; Trial and error=0.52716 ; Computer science=0.45623 ; Artificial intelligence=0.46495 ; Error-driven learning=0.0 ; Robot=0.55054 ; Machine learning=0.45795 ; Speedup=0.49953 ; Reinforcement learning=0.60842 ; ,1991,C,ML,ml
38,38,38,38,752.0,Stochastic Linear Optimization Under Bandit Feedback,Varsha DaniThomas P Hayes ; Sham M Kakade ; ,317,,,,Conference on Learning Theory,Combinatorics=0.4583 ; Mathematical optimization=0.44459 ; Exponential function=0.44376 ; Regret=0.61841 ; Computer science=0.40371 ; Upper and lower bounds=0.53995 ; Curse of dimensionality=0.45955 ; Polytope=0.49676 ; Linear programming=0.54228 ; Linear function=0.45262 ; Decision maker=0.0 ; ,2008,A,None,mo
39,39,39,39,785.0,Rule learning by searching on adapted nets,LiMin Fu,145,,,,National Conference on Artificial Intelligence,Computer science=0.45894 ; Inference=0.51175 ; Artificial intelligence=0.4778 ; Backpropagation=0.52621 ; Wind shear=0.42884 ; Machine learning=0.47317 ; ,1991,C,AI,ml
40,40,40,40,792.0,Bayesian Co-Training,Shipeng YuBalaji Krishnapuram ; Rómer Rosales ; R. Bharat Rao ; ,100,,,,Journal of Machine Learning Research,Data mining=0.47126 ; Data set=0.46933 ; Computer science=0.46414 ; Co-training=0.52584 ; Artificial intelligence=0.0 ; Gaussian process=0.49136 ; Kernel (linear algebra)=0.48106 ; Data point=0.50621 ; Pattern recognition=0.46293 ; Regular polygon=0.41906 ; Graphical model=0.57576 ; Machine learning=0.47669 ; Bayesian probability=0.50897 ; ,2011,A,ML,ml
41,41,41,41,807.0,Improving inference through conceptual clustering,Douglas Fisher,120,,,,National Conference on Artificial Intelligence,Data mining=0.46464 ; Inference=0.5357 ; Computer science=0.44294 ; Artificial intelligence=0.0 ; Conceptual clustering=0.78259 ; Brown clustering=0.6482 ; Cluster analysis=0.6912 ; Machine learning=0.47121 ; Decision tree learning=0.52314 ; Conceptual model (computer science)=0.57762 ; ,1987,C,ML,ml
42,42,42,42,846.0,A Comparison of Optimization Methods and Software for Large-scale L1-regularized Linear Classification,Guo-Xun YuanKai-Wei Chang ; Cho-Jui Hsieh ; Chih-Jen Lin ; ,187,,,,Journal of Machine Learning Research,Data mining=0.47928 ; Feature selection=0.55199 ; Computer science=0.46855 ; Implementation=0.45333 ; Software=0.53496 ; Artificial intelligence=0.0 ; Coordinate descent=0.60382 ; Linear classifier=0.65544 ; Machine learning=0.48114 ; ,2010,A,ML,ml
43,43,43,43,847.0,CHEF: a model of case-based planning,Kristian J. Hammond,315,,,,National Conference on Artificial Intelligence,Case based planning=0.0 ; Software engineering=0.4575 ; Computer science=0.45926 ; Planner=0.53064 ; Artificial intelligence=0.4466 ; Machine learning=0.44027 ; ,1986,C,AI,ml
44,44,44,44,873.0,Fluxplayer: a successful general game player,Stephan SchiffelMichael Thielscher ; ,117,,,,National Conference on Artificial Intelligence,Game mechanics=0.71319 ; Video game design=0.73329 ; Video game development=0.70168 ; Computer science=0.43531 ; Game design=0.72783 ; Repeated game=0.7027 ; General game playing=0.7724 ; Game Developer=0.7246 ; Multimedia=0.43485 ; Non-cooperative game=0.70174 ; ,2007,C,None,ml
45,45,45,45,875.0,Complexity Theoretic Lower Bounds for Sparse Principal Component Detection,Quentin BerthetPhilippe Rigollet ; ,144,,,,Conference on Learning Theory,Sparse PCA=0.66879 ; Mathematical optimization=0.4624 ; Computer science=0.44349 ; Signal strength=0.0 ; Artificial intelligence=0.0 ; Time complexity=0.58163 ; Machine learning=0.44815 ; Clique problem=0.55734 ; Principal component analysis=0.50817 ; ,2013,A,ML,mo
46,46,46,46,882.0,The Clarke tax as a consensus mechanism among automated agents,Eithan EphratiJeffrey S. Rosenschein ; ,191,,,,National Conference on Artificial Intelligence,Autonomous agent=0.56874 ; Voting=0.49675 ; Computer science=0.44574 ; Artificial intelligence=0.44567 ; Negotiation=0.49871 ; ,1991,C,AI,ml
47,47,47,47,888.0,Belief maintenance in dynamic constraint networks,Rina DechterAvi Dechter ; ,231,,,,National Conference on Artificial Intelligence,Belief maintenance=0.0 ; Proposition=0.46225 ; Computer science=0.46588 ; Artificial intelligence=0.47265 ; Hybrid algorithm (constraint satisfaction)=0.60049 ; Contradiction=0.4869 ; ,1988,C,AI,ml
48,48,48,48,902.0,Combining Nearest Neighbor Classifiers Through Multiple Feature Subsets,Stephen D. Bay,148,,,,International Conference on Machine Learning,k-nearest neighbors algorithm=0.67562 ; Pattern recognition=0.42621 ; Ball tree=0.69924 ; Computer science=0.41823 ; Best bin first=0.76032 ; Nearest neighbor graph=0.73413 ; Artificial intelligence=0.0 ; Nearest-neighbor chain algorithm=0.54423 ; Large margin nearest neighbor=0.71367 ; Nearest neighbor search=0.72477 ; ,1998,A,None,mo
49,49,49,49,905.0,Model-based collaborative filtering as a defense against profile injection attacks,Bamshad MobasherRobin Burke ; J. J. Sandvig ; ,105,,,,National Conference on Artificial Intelligence,k-nearest neighbors algorithm=0.45901 ; Recommender system=0.61011 ; Data mining=0.46776 ; Injection attacks=0.0 ; Collaborative filtering=0.64681 ; Computer science=0.45331 ; Robustness (computer science)=0.52295 ; Artificial intelligence=0.0 ; Probabilistic latent semantic analysis=0.54673 ; Cluster analysis=0.52049 ; Machine learning=0.46752 ; Scalability=0.49447 ; ,2006,C,ML,ml
50,50,50,50,907.0,"Computing shapley values, manipulating value division schemes, and checking core membership in multi-issue domains",Vincent ConitzerTuomas Sandholm ; ,122,,,,National Conference on Artificial Intelligence,Mathematical optimization=0.46002 ; Incentive=0.44123 ; Computer science=0.46589 ; Characteristic function (probability theory)=0.41145 ; Core (game theory)=0.59437 ; Negotiation=0.44974 ; Computational complexity theory=0.50484 ; ,2004,C,None,ml
51,51,51,51,932.0,GENET: a connectionist architecture for solving constraint satisfaction problems by iterative improvement,Andrew DavenportEdward Tsang ; Chang J. Wang ; Kangmin Zhu ; ,110,,,,National Conference on Artificial Intelligence,Local consistency=0.59902 ; Mathematical optimization=0.4566 ; Computer science=0.44983 ; Maxima and minima=0.46194 ; Constraint satisfaction problem=0.58688 ; Complexity of constraint satisfaction=0.56188 ; Constraint satisfaction dual problem=0.58773 ; Artificial intelligence=0.4571 ; Backtracking=0.61994 ; Machine learning=0.44947 ; Connectionism=0.44487 ; Hybrid algorithm (constraint satisfaction)=0.59655 ; ,1994,C,AI,mo
52,52,52,52,942.0,Reasoning about evidence in causal explanations,Phyllis Koton,231,,,,National Conference on Artificial Intelligence,Causality=0.50228 ; Computer science=0.43162 ; Artificial intelligence=0.4412 ; Domain model=0.48926 ; Causal model=0.64799 ; ,1988,C,AI,ml
53,53,53,53,1012.0,The attribute selection problem in decision tree generation,Usama M. FayyadKeki B. Irani ; ,188,,,,National Conference on Artificial Intelligence,Decision tree=0.5945 ; Data mining=0.45911 ; Feature selection=0.51817 ; Computer science=0.44915 ; Cart=0.40626 ; New class=0.40222 ; Artificial intelligence=0.0 ; ID3=0.4682 ; ID3 algorithm=0.60406 ; Machine learning=0.46262 ; Decision tree learning=0.61858 ; Incremental decision tree=0.62685 ; ,1992,C,ML,ml
54,54,54,54,1018.0,Partykit: a modular toolkit for recursive partytioning in R,Torsten HothornAchim Zeileis ; ,179,,,,Journal of Machine Learning Research,Predictive Model Markup Language=0.46871 ; Parametric model=0.43985 ; Inference=0.42891 ; Computer science=0.4355 ; Theoretical computer science=0.44392 ; Recursive partitioning=0.4813 ; Artificial intelligence=0.0 ; Statistical learning=0.0 ; Modular design=0.44899 ; Recursion=0.45366 ; Machine learning=0.42922 ; R package=0.0 ; ,2015,A,ML,ml
55,55,55,55,1023.0,"A robust, qualitative method for robot spatial learning",Benjamin J. KuipersYung-Tai Byun ; ,122,,,,National Conference on Artificial Intelligence,Procedural knowledge=0.5283 ; Spatial learning=0.0 ; Computer science=0.45601 ; Artificial intelligence=0.4675 ; Robot=0.51786 ; Machine learning=0.46341 ; Mobile robot=0.60043 ; Optimal distinctiveness theory=0.44314 ; Vulnerability=0.41328 ; ,1988,C,AI,ml
56,56,56,56,1089.0,Collaborative hyperparameter tuning,R mi BardenetM ty s Brendel ; Bal zs K gl ; Mich le Sebag ; ,112,,,,International Conference on Machine Learning,Hyperparameter optimization=0.76207 ; Error function=0.46021 ; Hyperparameter=0.70183 ; Pattern recognition=0.4527 ; Ranking=0.47724 ; Computer science=0.45222 ; Model building=0.4739 ; Deep belief network=0.52696 ; Brute force=0.0 ; Artificial intelligence=0.47059 ; Machine learning=0.47708 ; ,2013,A,ML,ml
57,57,57,57,1118.0,On Random Weights and Unsupervised Feature Learning,Andrew SaxePang W. Koh ; Zhenghao Chen ; Maneesh Bhand ; Bipin Suresh ; Andrew Y. Ng ; ,234,,,,International Conference on Machine Learning,Architecture=0.40735 ; Pattern recognition=0.47463 ; Computer science=0.44716 ; Pooling=0.50036 ; Speech recognition=0.4706 ; Invariant (mathematics)=0.46295 ; Artificial intelligence=0.0 ; Machine learning=0.46928 ; Feature learning=0.60156 ; Cognitive neuroscience of visual object recognition=0.51048 ; ,2011,A,AI,ml
58,58,58,58,1137.0,Robust Subspace Segmentation by Low-Rank Representation,Guangcan LiuZhouchen Lin ; Yong Yu ; ,958,,,,International Conference on Machine Learning,Affine transformation=0.54351 ; Linear combination=0.53056 ; Data vector=0.0 ; Subspace segmentation=0.0 ; Global structure=0.0 ; Pattern recognition=0.46716 ; Computer science=0.42904 ; Sparse approximation=0.54483 ; Linear subspace=0.5535 ; Artificial intelligence=0.0 ; Machine learning=0.44994 ; ,2010,A,ML,ml
59,59,59,59,1158.0,A qualitative model for space,Amitabha MukerjeeGene Joe ; ,171,,,,National Conference on Artificial Intelligence,Motion planning=0.4638 ; Spatial analysis=0.50549 ; Spatial intelligence=0.54042 ; Interval temporal logic=0.50548 ; Computer science=0.45094 ; Natural language=0.48512 ; Artificial intelligence=0.0 ; Formalism (philosophy)=0.49724 ; Machine learning=0.45293 ; Qualitative reasoning=0.58113 ; Bounded function=0.48826 ; ,1990,C,ML,ml
60,60,60,60,1190.0,Vox Populi: Collecting High-Quality Labels from a Crowd,Ofer DekelOhad Shamir ; ,131,,,,Conference on Learning Theory,Training set=0.0 ; Empirical evidence=0.44209 ; Learning theory=0.50453 ; Crowdsourcing=0.56569 ; Computer science=0.46421 ; Artificial intelligence=0.0 ; Machine learning=0.47845 ; ,2009,A,ML,ml
61,61,61,61,1229.0,Addressing the Curse of Imbalanced Training Sets: One-Sided Selection.,Miroslav KubatStan Matwin ; ,770,,,,International Conference on Machine Learning,Computer science=0.432 ; Curse=0.52037 ; Artificial intelligence=0.0 ; Machine learning=0.45059 ; ,1997,A,ML,ml
62,62,62,62,1276.0,Stochastic Convex Optimization.,Shai Shalev-ShwartzOhad Shamir ; Nathan Srebro ; Karthik Sridharan ; ,117,,,,Conference on Learning Theory,Mathematical optimization=0.46345 ; Computer science=0.41981 ; Convex combination=0.57415 ; Uniform convergence=0.58191 ; Subderivative=0.57949 ; Conic optimization=0.58402 ; Proper convex function=0.5821 ; Convex optimization=0.6118 ; Learnability=0.57644 ; Convex analysis=0.61612 ; ,2009,A,None,mo
